"Date","GDX Net Flows"
"April, 2024","-989.49"
"March, 2024","260.64"
"February, 2024","108.12"
"January, 2024","-219.58999999999997"
"December, 2023","-104.57999999999998"
"November, 2023","847.1499999999996"
"October, 2023","-65.44000000000001"
"September, 2023","-267.97"
"August, 2023","196.42000000000002"
"July, 2023","71.34"
"June, 2023","-320.98"
"May, 2023","-121.22999999999996"
"April, 2023","-544.1300000000002"
"May, 2024","-359.21999999999997"
"June, 2024","26.66000000000001"
"March, 2023","324.38"
"February, 2023","-266.22"
"January, 2023","323.53999999999996"
"December, 2022","3.409999999999993"
"November, 2022","174.16999999999996"
"October, 2022","514.13"
"July, 2024","-230.07999999999998"
"August, 2024","-202.81000000000003"
"September, 2024","376.59000000000003"
"October, 2024","-447.41"
"November, 2024","-146.05000000000004"
"December, 2024","67.63"
"January, 2025","-604.29"
"February, 2025","-1037.1399999999999"
"March, 2025","-408.31"
"April, 2025","-823.83"
"May, 2025","91.68"
"June, 2025","-569.22"
"July, 2025","-253.42000000000002"
"August, 2025","480.22"
"September, 2025","-630.8600000000002"
"October, 2025","749.55"
"November, 2025","-523.1"
"December, 2025","512.77"
"January, 2026","568.02"
"February, 2026","250.87"
