"Date","GDXJ Net Flows"
"April, 2024","-45.81"
"March, 2024","169.52"
"February, 2024","28.310000000000002"
"January, 2024","-94.79"
"December, 2023","19.020000000000003"
"November, 2023","118.96"
"October, 2023","54.47"
"September, 2023","-3.56"
"August, 2023","105.33999999999999"
"July, 2023","30.930000000000007"
"June, 2023","-2.3000000000000007"
"May, 2023","-51.19"
"April, 2023","46.99000000000001"
"May, 2024","-70.28"
"June, 2024","-11.98"
"March, 2023","120.03"
"February, 2023","-58.03"
"January, 2023","13.71"
"December, 2022","9.95"
"November, 2022","65.86999999999999"
"October, 2022","4.720000000000001"
"July, 2024","-19.090000000000003"
"August, 2024","-33.57"
"September, 2024","-20.599999999999998"
"October, 2024","-172.81000000000003"
"November, 2024","-235.49999999999997"
"December, 2024","-74.49000000000001"
"January, 2025","-185"
"February, 2025","-184.28"
"March, 2025","-133.54"
"April, 2025","-402.63"
"May, 2025","-352.44"
"June, 2025","3.0799999999999983"
"July, 2025","-20.5"
"August, 2025","134.73"
"September, 2025","213.12"
"October, 2025","17.8"
"November, 2025","-179.14"
"December, 2025","-134.91000000000003"
"January, 2026","114.62"
"February, 2026","6.27"
